"","geneset","symbol"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB","JUNB"
"2","HALLMARK_TNFA_SIGNALING_VIA_NFKB","CXCL2"
"3","HALLMARK_TNFA_SIGNALING_VIA_NFKB","ATF3"
"4","HALLMARK_TNFA_SIGNALING_VIA_NFKB","NFKBIA"
"5","HALLMARK_TNFA_SIGNALING_VIA_NFKB","TNFAIP3"
"6","HALLMARK_TNFA_SIGNALING_VIA_NFKB","PTGS2"
"7","HALLMARK_TNFA_SIGNALING_VIA_NFKB","CXCL1"
"8","HALLMARK_TNFA_SIGNALING_VIA_NFKB","IER3"
"9","HALLMARK_TNFA_SIGNALING_VIA_NFKB","CD83"
"10","HALLMARK_TNFA_SIGNALING_VIA_NFKB","CCL20"
"11","HALLMARK_TNFA_SIGNALING_VIA_NFKB","CXCL3"
"12","HALLMARK_TNFA_SIGNALING_VIA_NFKB","MAFF"
"13","HALLMARK_TNFA_SIGNALING_VIA_NFKB","NFKB2"
"14","HALLMARK_TNFA_SIGNALING_VIA_NFKB","TNFAIP2"
"15","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HBEGF"
"16","HALLMARK_TNFA_SIGNALING_VIA_NFKB","KLF6"
"17","HALLMARK_TNFA_SIGNALING_VIA_NFKB","BIRC3"
"18","HALLMARK_TNFA_SIGNALING_VIA_NFKB","PLAUR"
"19","HALLMARK_TNFA_SIGNALING_VIA_NFKB","ZFP36"
"20","HALLMARK_TNFA_SIGNALING_VIA_NFKB","ICAM1"
"21","HALLMARK_TNFA_SIGNALING_VIA_NFKB","JUN"
"22","HALLMARK_TNFA_SIGNALING_VIA_NFKB","EGR3"
"23","HALLMARK_TNFA_SIGNALING_VIA_NFKB","IL1B"
"24","HALLMARK_TNFA_SIGNALING_VIA_NFKB","BCL2A1"
"25","HALLMARK_TNFA_SIGNALING_VIA_NFKB","PPP1R15A"
"26","HALLMARK_TNFA_SIGNALING_VIA_NFKB","ZC3H12A"
"27","HALLMARK_TNFA_SIGNALING_VIA_NFKB","SOD2"
"28","HALLMARK_TNFA_SIGNALING_VIA_NFKB","NR4A2"
"29","HALLMARK_TNFA_SIGNALING_VIA_NFKB","IL1A"
"30","HALLMARK_TNFA_SIGNALING_VIA_NFKB","RELB"
"31","HALLMARK_TNFA_SIGNALING_VIA_NFKB","TRAF1"
"32","HALLMARK_TNFA_SIGNALING_VIA_NFKB","BTG2"
"33","HALLMARK_TNFA_SIGNALING_VIA_NFKB","DUSP1"
"34","HALLMARK_TNFA_SIGNALING_VIA_NFKB","MAP3K8"
"35","HALLMARK_TNFA_SIGNALING_VIA_NFKB","ETS2"
"36","HALLMARK_TNFA_SIGNALING_VIA_NFKB","F3"
"37","HALLMARK_TNFA_SIGNALING_VIA_NFKB","SDC4"
"38","HALLMARK_TNFA_SIGNALING_VIA_NFKB","EGR1"
"39","HALLMARK_TNFA_SIGNALING_VIA_NFKB","IL6"
"40","HALLMARK_TNFA_SIGNALING_VIA_NFKB","TNF"
"41","HALLMARK_TNFA_SIGNALING_VIA_NFKB","KDM6B"
"42","HALLMARK_TNFA_SIGNALING_VIA_NFKB","NFKB1"
"43","HALLMARK_TNFA_SIGNALING_VIA_NFKB","LIF"
"44","HALLMARK_TNFA_SIGNALING_VIA_NFKB","PTX3"
"45","HALLMARK_TNFA_SIGNALING_VIA_NFKB","FOSL1"
"46","HALLMARK_TNFA_SIGNALING_VIA_NFKB","NR4A1"
"47","HALLMARK_TNFA_SIGNALING_VIA_NFKB","JAG1"
"48","HALLMARK_TNFA_SIGNALING_VIA_NFKB","CCL4"
"49","HALLMARK_TNFA_SIGNALING_VIA_NFKB","GCH1"
"50","HALLMARK_TNFA_SIGNALING_VIA_NFKB","CCL2"
"51","HALLMARK_TNFA_SIGNALING_VIA_NFKB","RCAN1"
"52","HALLMARK_TNFA_SIGNALING_VIA_NFKB","DUSP2"
"53","HALLMARK_TNFA_SIGNALING_VIA_NFKB","EHD1"
"54","HALLMARK_TNFA_SIGNALING_VIA_NFKB","IER2"
"55","HALLMARK_TNFA_SIGNALING_VIA_NFKB","REL"
"56","HALLMARK_TNFA_SIGNALING_VIA_NFKB","CFLAR"
"57","HALLMARK_TNFA_SIGNALING_VIA_NFKB","RIPK2"
"58","HALLMARK_TNFA_SIGNALING_VIA_NFKB","NFKBIE"
"59","HALLMARK_TNFA_SIGNALING_VIA_NFKB","NR4A3"
"60","HALLMARK_TNFA_SIGNALING_VIA_NFKB","PHLDA1"
"61","HALLMARK_TNFA_SIGNALING_VIA_NFKB","IER5"
"62","HALLMARK_TNFA_SIGNALING_VIA_NFKB","TNFSF9"
"63","HALLMARK_TNFA_SIGNALING_VIA_NFKB","GEM"
"64","HALLMARK_TNFA_SIGNALING_VIA_NFKB","GADD45A"
"65","HALLMARK_TNFA_SIGNALING_VIA_NFKB","CXCL10"
"66","HALLMARK_TNFA_SIGNALING_VIA_NFKB","PLK2"
"67","HALLMARK_TNFA_SIGNALING_VIA_NFKB","BHLHE40"
"68","HALLMARK_TNFA_SIGNALING_VIA_NFKB","EGR2"
"69","HALLMARK_TNFA_SIGNALING_VIA_NFKB","SOCS3"
"70","HALLMARK_TNFA_SIGNALING_VIA_NFKB","SLC2A6"
"71","HALLMARK_TNFA_SIGNALING_VIA_NFKB","PTGER4"
"72","HALLMARK_TNFA_SIGNALING_VIA_NFKB","DUSP5"
"73","HALLMARK_TNFA_SIGNALING_VIA_NFKB","SERPINB2"
