"","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FoldChange"
"TRPC7",0.0900894844944148,0.00767167865660569,5.42682616279231,4.25887108021764e-07,0.00585160603942861,6.14453096146055,-0.0900894844944148
"PACRG",0.984671779758522,0.369030271369242,5.39471332740968,4.88677485601196e-07,0.00585160603942861,6.0187924750888,-0.984671779758522
"LINC01177",0.0519427942748371,0.00424022810406834,5.32136588290815,6.68042397377496e-07,0.00585160603942861,5.73302432814021,-0.0519427942748371
"SRD5A2",0.585566779377875,0.081268917060053,5.22263317047141,1.01424266983164e-06,0.00666306721945894,5.35156346234635,-0.585566779377875
"MOGAT1",0.0962526134174361,0.0118484871483478,5.15380090986959,1.35382176935263e-06,0.00711514569100968,5.0878691213219,-0.0962526134174361
"ZNRF3",0.948460790211612,1.026841434105,4.95003435588391,3.14652061530991e-06,0.0135359598550665,4.31853660017243,-0.948460790211612
"SCN4B",0.612171812895027,0.472913285300703,4.89164140616729,3.99357576877867e-06,0.0135359598550665,4.1013024929475,-0.612171812895027
"HHIP",0.4890633664035,0.157599880448082,4.88392926367768,4.12084933558612e-06,0.0135359598550665,4.07272261176481,-0.4890633664035
"SPRY2",1.48773391259612,2.57172988243925,4.83366951718956,5.05238445942621e-06,0.0147518398694224,3.88711065058972,-1.48773391259612
"NCALD",1.44201796759815,1.6702020665943,4.69014343501676,8.98463364662053e-06,0.0209052336595523,3.36332551642884,-1.44201796759815
"RXFP1",1.0878890233702,0.56540193874074,4.6808742583814,9.32187403838911e-06,0.0209052336595523,3.32982448137966,-1.0878890233702
"LINC00488",0.492931992707686,0.0675498639718322,4.67487927121239,9.54649531602968e-06,0.0209052336595523,3.30817856973128,-0.492931992707686
"EPHA8",0.681182469768909,0.210943940756114,4.62871049597935,1.14612600580265e-05,0.0231676147542169,3.14204563248087,-0.681182469768909
"SLC12A1",0.0910612103014571,0.0215235977043618,4.59926878077683,1.2871442676892e-05,0.0241596979045263,3.03663179198161,-0.0910612103014571
"LIX1",0.385251593188475,0.0575991255182608,4.53928486316749,1.62831059024703e-05,0.0285258304603409,2.8231557524253,-0.385251593188475
"GREM2",0.806640901420166,0.240495567225772,4.4928977705606,1.95063903722968e-05,0.0320368078877009,2.65927406611108,-0.806640901420166
"SERPINA5",1.2359329464736,0.304931726239522,4.45444578487647,2.26384724601578e-05,0.0321541522535789,2.52423459129695,-1.2359329464736
"FGF9",0.542834848340422,0.204871802154212,4.43856697094402,2.40690556796184e-05,0.0321541522535789,2.46868566533426,-0.542834848340422
"FGF18",1.07990055266283,0.454735756048534,4.43582538863093,2.4324739784158e-05,0.0321541522535789,2.45910762056878,-1.07990055266283
"APOBEC3B-AS1",0.0192094562246547,0.00156811887548202,4.43425583324911,2.44722979325511e-05,0.0321541522535789,2.45362589762254,-0.0192094562246547
"ADRA1B",0.259301307321843,0.0783067445160419,4.37798016387511,3.03731902610353e-05,0.0380069854133089,2.25790688118129,-0.259301307321843
"ADAMTSL2",0.896909013039178,0.677131342270429,4.35767850317263,3.282181869435e-05,0.0392041705295513,2.18769778578205,-0.896909013039178
"CDHR1",1.20962265543378,0.739555822151619,4.28966797899628,4.24904498488354e-05,0.042035679709412,1.95405377627548,-1.20962265543378
"UNC5A",0.367598845905942,0.127875558951816,4.28758897022369,4.28255081099309e-05,0.042035679709412,1.94694961412842,-0.367598845905942
"DPP10",0.322286460967793,0.0634111983348865,4.27947813824776,4.41571684524492e-05,0.042035679709412,1.91925592439773,-0.322286460967793
"LIMS3",0.629518200069981,0.559664346331731,4.27932723456694,4.41823182704574e-05,0.042035679709412,1.9187410062413,-0.629518200069981
"HNF1B",0.859055214902649,0.1775022974835,4.27138077494455,4.55263551442612e-05,0.042035679709412,1.89164283802963,-0.859055214902649
"LINC01541",0.614030307077747,0.101241160557212,4.26942470637743,4.5863188141453e-05,0.042035679709412,1.88497757952711,-0.614030307077747
"PCDHB2",1.0202137528624,0.427517479295057,4.26494497867337,4.66436580717598e-05,0.042035679709412,1.86972063827787,-1.0202137528624
"EDN3",1.08993948233958,0.278941920501399,4.24916971967978,4.94951579236433e-05,0.042035679709412,1.81607837883793,-1.08993948233958
"MSX1",2.20672344572605,1.84651356000095,4.2486642717922,4.95892408475444e-05,0.042035679709412,1.81436183751622,-2.20672344572605
"IVNS1ABP",1.17346282711206,5.09591402297406,4.22840172308411,5.35059090824361e-05,0.043938383714633,1.74566076859784,-1.17346282711206
"CBWD3",-1.02840601172811,4.03279561025014,-4.19640268830193,6.03039228794828e-05,0.0475174877221166,1.63761454870497,1.02840601172811
"DLEU2",-0.925255194990635,2.93187266051358,-4.19121762771511,6.14808806816335e-05,0.0475174877221166,1.62015886827625,0.925255194990635
"SPATA18",1.01935930616048,1.35129126186688,4.17433931684288,6.54669896212956e-05,0.0486015187545399,1.5634382436805,-1.01935930616048
"BAMBI",1.65695562710061,2.00887378688577,4.16979280520525,6.65824901120114e-05,0.0486015187545399,1.54818583012829,-1.65695562710061
"TCTEX1D4",0.677673122423133,0.495398746182803,4.16138858428074,6.86927585043363e-05,0.048786711026404,1.5200213699126,-0.677673122423133
"GRIK2",0.499543710183794,0.289000508100262,4.14193480162985,7.38268875256911e-05,0.051053235536845,1.45497516414598,-0.499543710183794
