"","Row.names","anno","logFC_RNA","pvalue_RNA","logFC_protein","pvalue_protein","group","size","alpha"
"1","A2M",NA,-0.80511406086231,0.0557325189654191,-0.50170307411557,0.805215295518585,"stable",0.5,0.1
"2","A2ML1",NA,-0.262770111770403,0.703615418359468,0.143717510573034,0.871263677385501,"stable",0.5,0.1
"3","AAAS",NA,-0.0986930291751692,0.605393172889686,-0.134954645863563,0.468011596582261,"stable",0.5,0.1
"4","AACS",NA,-0.376948402915621,0.0867816968617959,0.133726733229535,0.607011571232738,"stable",0.5,0.1
"5","AAGAB",NA,-0.109019951899123,0.610803184421219,-0.37381689370626,0.217569717033747,"stable",0.5,0.1
"6","AAK1",NA,0.0632407341715917,0.869674037934033,0.15753431924077,0.169462686482797,"stable",0.5,0.1
"7","AAMP",NA,-0.449856326613919,0.0170672606760962,-0.191217866077047,0.262593057137945,"stable",0.5,0.1
"8","AAR2",NA,-0.220758385616445,0.315752066059208,-0.314999800004815,0.0417264425525108,"stable",0.5,0.1
"9","AASDHPPT",NA,-0.11578607538904,0.560217462744032,-0.104210010205457,0.442491371739989,"stable",0.5,0.1
"10","ABCA1",NA,0.0638306775348269,0.827630578290092,-0.0477357392134831,0.687970337840528,"stable",0.5,0.1
"11","ABCB10",NA,0.408740540929266,0.149621027241343,0.0519815496260032,0.838096877912362,"stable",0.5,0.1
"12","ABCB7",NA,0.184524677872674,0.306741255721018,-0.124608736547352,0.417786281043029,"stable",0.5,0.1
"13","ABCB8",NA,0.236950798975192,0.240004097425936,0.21736552558427,0.250776024271673,"stable",0.5,0.1
"14","ABCC1",NA,-0.389993092612599,0.270873752381488,0.0570217129951846,0.70883009739768,"stable",0.5,0.1
"15","ABCD3",NA,-0.10857710999489,0.677400724040389,0.0436469495890851,0.994378305964523,"stable",0.5,0.1
"16","ABCE1",NA,0.0575231111029576,0.761624196052859,0.0168203850979133,0.971897110391705,"stable",0.5,0.1
"17","ABCF1",NA,-0.402220895491137,0.266608146908339,0.061062721388443,0.949438223121912,"stable",0.5,0.1
"18","ABCF3",NA,-0.295100509446261,0.287869394397198,0.0739390016902087,0.751197080993893,"stable",0.5,0.1
"19","ABHD10",NA,0.31310672976232,0.275616198399471,0.160199724365971,0.70883009739768,"stable",0.5,0.1
"20","ABHD11",NA,-0.429547370235146,0.176188057080181,-0.170536907072231,0.805215295518585,"stable",0.5,0.1
"21","ABHD12",NA,0.0808148800378788,0.711636228265556,0.0466517804269663,0.549243848253908,"stable",0.5,0.1
"22","ABHD14B",NA,-0.239413569327338,0.389713978800157,0.0321473461444622,0.687970337840528,"stable",0.5,0.1
"23","ABI1",NA,0.308881464564809,0.182408637160417,-0.0237313014205457,0.626853249592891,"stable",0.5,0.1
"24","ABI3BP",NA,0.929593395216699,0.132667483878064,-0.133345067845907,0.783480294021477,"stable",0.5,0.1
"25","ABLIM1",NA,-0.547825796687008,0.219978117831059,-0.0347687004109149,0.927019435030443,"stable",0.5,0.1
"26","ABR",NA,-0.994685043294858,0.00387788209381609,-0.0157348148635634,0.646968643000891,"stable",0.5,0.1
"27","ABRACL",NA,0.574552921596684,0.165650852676695,0.0602891956773676,0.838096877912362,"stable",0.5,0.1
"28","ACAA1",NA,-0.195190163012989,0.312333085454265,-0.220294033425361,0.109732159220417,"stable",0.5,0.1
"29","ACAA2",NA,0.530594719598937,0.209337657124147,-0.0858790866340289,0.626853249592891,"stable",0.5,0.1
"30","ACACA",NA,-0.502896491919184,0.0894628099053127,0.30332214605618,0.173880329417869,"stable",0.5,0.1
"31","ACAD9",NA,0.196990106325287,0.390363065806803,0.287158363929374,0.0204454913904791,"stable",0.5,0.1
"32","ACADM",NA,-0.22636454867676,0.548558621821794,0.106205792772071,0.401777444378686,"stable",0.5,0.1
"33","ACADS",NA,0.332204596545109,0.205157555800158,0.0957802940321027,0.539886125250341,"stable",0.5,0.1
"34","ACADVL",NA,-0.237464128964278,0.204017408044054,-0.208502828038523,0.262593057137945,"stable",0.5,0.1
"35","ACAP1",NA,0.8657970350938,0.0108916003058301,0.307503479839486,0.262593057137945,"stable",0.5,0.1
"36","ACAP2",NA,0.168768859868899,0.530217655469965,0.295180235069021,0.109732159220417,"stable",0.5,0.1
"37","ACAT1",NA,0.267941310086702,0.300136910325264,-0.187199474361156,0.549243848253908,"stable",0.5,0.1
"38","ACAT2",NA,-0.120673959804105,0.724959459483384,0.1763234729374,0.577787943396315,"stable",0.5,0.1
"39","ACBD3",NA,-0.0399407348092064,0.822132289440936,-0.0897391460609952,0.386142441588493,"stable",0.5,0.1
"40","ACBD5",NA,0.131055080380981,0.576597753427608,-0.0406463602455859,0.938222707982214,"stable",0.5,0.1
"41","ACBD6",NA,0.130592582340778,0.473442718027226,0.183780067719101,0.468011596582261,"stable",0.5,0.1
"42","ACIN1",NA,-0.187643103113507,0.544623094159385,0.0852684074719101,0.960663764547509,"stable",0.5,0.1
"43","ACLY",NA,-0.318451481015969,0.103244952256941,0.0460313631043338,0.626853249592891,"stable",0.5,0.1
"44","ACO1",NA,-0.114037641794392,0.594250357972301,-0.212946140916533,0.281029982274631,"stable",0.5,0.1
"45","ACO2",NA,-0.645059033801445,0.0655995533759884,0.0120907201011236,0.740528976663858,"stable",0.5,0.1
"46","ACOT13",NA,0.647943138934396,0.0710628205162543,-0.00966180779454255,0.761912955252238,"stable",0.5,0.1
"47","ACOT2",NA,0.00831142361109548,0.97615035056299,-0.245940719346709,0.313670356639103,"stable",0.5,0.1
"48","ACOT7",NA,-0.0560225849057525,0.839487535936559,0.147011857304976,0.442491371739989,"stable",0.5,0.1
"49","ACOT8",NA,0.665473385067245,0.0454927789572439,0.033157542,0.971897110391705,"stable",0.5,0.1
"50","ACOT9",NA,0.0620552712627972,0.825651769303523,-0.133244104187801,0.971897110391705,"stable",0.5,0.1
"51","ACOX1",NA,-0.126512587378398,0.521317106732845,-0.22888509535634,0.217569717033747,"stable",0.5,0.1
"52","ACP1",NA,0.341171566877644,0.0785886377449569,0.177731150280899,0.794327833636499,"stable",0.5,0.1
"53","ACP2",NA,-0.348012770598776,0.18323409191222,0.131054613030498,0.698371740555841,"stable",0.5,0.1
"54","ACP5",NA,0.651613212509855,0.0772641414200829,0.0935289537303371,0.687970337840528,"stable",0.5,0.1
"55","ACSF2",NA,0.776676469920555,0.060835657763747,0.0934101145264848,0.476696094272577,"stable",0.5,0.1
"56","ACSL1",NA,-0.00628701809658498,0.983840968008892,0.0749449160385233,0.667345336893643,"stable",0.5,0.1
"57","ACSL3",NA,-0.193691065699384,0.315750763414645,-0.0204139149438202,0.70883009739768,"stable",0.5,0.1
"58","ACSL4",NA,0.105712691426736,0.772936366073231,-0.163788184797753,0.409735372122395,"stable",0.5,0.1
"59","ACSL5",NA,-0.225527098602226,0.516648172997821,-0.382282603070626,0.468011596582261,"stable",0.5,0.1
"60","ACSS2",NA,-0.0846772629408732,0.720927875511425,0.0841261980385233,0.729910538026043,"stable",0.5,0.1
"61","ACTA2",NA,-0.864827967945076,0.164845323560252,-0.178868771781701,0.549243848253908,"stable",0.5,0.1
"62","ACTB",NA,0.0148819594363076,0.931317215299532,-0.263654438995185,0.262593057137945,"stable",0.5,0.1
"63","ACTG1",NA,-0.315792384138938,0.141657640733213,-0.364473710558588,0.156714851993071,"stable",0.5,0.1
"64","ACTG2",NA,-1.12170730203193,0.120161109065677,-0.183424267051364,0.530608884364368,"stable",0.5,0.1
"65","ACTL6A",NA,0.488298021473685,0.177190563876276,0.155773522950241,0.23375513294862,"stable",0.5,0.1
"66","ACTN1",NA,-0.552033711143886,0.10368972031884,-0.210434363434992,0.245008823079876,"stable",0.5,0.1
"67","ACTN4",NA,-0.27723256381781,0.547066036784601,-0.0416888776918138,0.677627633048823,"stable",0.5,0.1
"68","ACTR10",NA,0.701509486728345,0.0206729573392983,-0.0717559003162119,0.503271182564458,"stable",0.5,0.1
"69","ACTR1A",NA,-0.200499873480666,0.324837514776108,-0.125644894301766,0.442491371739989,"stable",0.5,0.1
"70","ACTR1B",NA,0.213558290599135,0.294491129714466,-0.175987219486356,0.126279294462557,"stable",0.5,0.1
"71","ACTR2",NA,-0.04033102112056,0.813712823497091,0.0502024820144462,0.838096877912362,"stable",0.5,0.1
"72","ACTR3",NA,0.273182216691037,0.196906146818365,0.0596003737046549,0.434164876240906,"stable",0.5,0.1
"73","ACYP2",NA,0.454062377954198,0.191996798656238,-0.0108795441011236,0.860179893072024,"stable",0.5,0.1
"74","ADA",NA,0.167684363794498,0.663397457165018,-0.0288843785634029,0.607011571232738,"stable",0.5,0.1
"75","ADA2",NA,0.353788582175883,0.481637751995633,0.496748207913323,0.0363844610577747,"stable",0.5,0.1
"76","ADAM10",NA,-0.086068790053622,0.693808491700511,-0.126436640922953,0.378466214791744,"stable",0.5,0.1
"77","ADAM15",NA,-0.283361075124057,0.371673761087846,0.0877201812969502,0.558680877475579,"stable",0.5,0.1
"78","ADAM17",NA,-0.433011561030275,0.156160949538001,0.200531227051364,0.11613273099129,"stable",0.5,0.1
"79","ADAM9",NA,-0.536322960483479,0.0519608027729372,-0.0242871619855538,0.949438223121912,"stable",0.5,0.1
"80","ADAR",NA,-0.184090698079885,0.510123258898669,0.230399266945425,0.239335330794302,"stable",0.5,0.1
"81","ADD1",NA,-0.598055906547655,0.0324706148611153,-0.0250897509036918,0.597197091072,"stable",0.5,0.1
"82","ADD3",NA,-0.537628843472857,0.0906835644783364,-0.121442865452648,0.915830612892916,"stable",0.5,0.1
"83","ADH5",NA,0.344579976270093,0.360807720832771,-0.37569217064687,0.0793609777730202,"stable",0.5,0.1
