"","MOCC-000B","MOCC-000X","MOCC-002B","MOCC-000S","MOCC-000V","MOCC-001G","MOCC-001K","MOCC-002C","MOCC-001O","MOCC-002D","MOCC-0027","MOCC-0014","MOCC-000Y","MOCC-000E","MOCC-002Y","MOCC-002F","MOCC-000L","MOCC-0017","MOCC-0005","MOCC-000M","MOCC-0009","MOCC-0021","MOCC-001R","MOCC-001D","MOCC-001M","MOCC-002T","MOCC-001Z","MOCC-000Z","MOCC-0018","MOCC-001U","MOCC-0007","MOCC-001V","MOCC-000F","MOCC-0023","MOCC-000T","MOCC-000W","MOCC-0019","MOCC-001C","MOCC-000Q","MOCC-001H","MOCC-0004","MOCC-0016","MOCC-0024","MOCC-000K","MOCC-0015","MOCC-000G","MOCC-0012","MOCC-0010","MOCC-000R","MOCC-000H","MOCC-000C","MOCC-0025","MOCC-001W","MOCC-001X","MOCC-000U","MOCC-001J","MOCC-001I","MOCC-001E","MOCC-001A","MOCC-002A","MOCC-000A","MOCC-001S","MOCC-001Y","MOCC-000N","MOCC-0008","MOCC-002S","MOCC-0022","MOCC-002R","MOCC-0003","MOCC-001P","MOCC-002Q","MOCC-0020","MOCC-0026","MOCC-001F","MOCC-002I","MOCC-0029","MOCC-001Q","MOCC-0001","MOCC-002E","MOCC-0006","MOCC-001B","MOCC-0002","MOCC-001T","MOCC-002G","MOCC-001L","MOCC-000J","MOCC-0013","MOCC-001N","MOCC-000I","MOCC-002M","MOCC-0011","MOCC-000D","MOCC-002K","MOCC-002L","MOCC-002H","MOCC-0034","MOCC-0032","MOCC-002J"
"TNC",6.69682846458871,2.64846544302731,4.32481060342048,7.35843142862635,5.21101219348551,8.37764435839991,4.22110372536788,6.95035176203436,4.39985467357243,3.97177344719337,4.31976242766925,5.80967167790706,0.250961573533219,1.76128527336162,1.48542682717024,3.15218341905505,1.7311832415722,3.14241343787374,6.44625622988956,3.10265813136374,5.00898878322726,1.77399632511117,3.46466826700344,2.88166461932035,1.38956681176273,2.79285535236249,5.12969515665378,4.30597052098439,2.30451104180995,2.54349588342577,3.46858331700683,2.790772037862,8.40079406718598,3.78659636189081,3.39506279951758,1.20163386116965,5.22458056608344,5.67185946824748,6.55197736018086,4.08236196955747,1.10433665981474,3.41142624572647,3.90110824301451,7.08533966935737,3.19849415363908,5.58255600301406,3.81044310384517,2.05658352836637,5.1586601753465,5.85897561429202,1.62760683812965,1.31034012061215,7.17282750727309,5.6313953536956,7.36062764619295,1.98185265328974,5.04526821513853,3.21878116778407,3.65878273401283,2.64385618977472,3.1906148602095,5.58195375084882,0.903038270112912,1.97452931248388,3.52857131887076,3.54596836910529,2.79493566280354,1.56071495447448,1.11103131238874,6.15299460549244,5.42861141846713,3.88752527074159,4.04875931191986,1.30451104180995,3.94392132655349,4.20398416585599,1.28095631383106,2.85399564717639,1.16349873228288,3.19377174339668,4.41953889151378,1.90689059560852,4.42223300068305,6.45582036508492,0.464668267003444,6.34518344718767,4.66732447027863,0.925999418556223,4.43362716708478,2.59931779369823,2.90881290773955,7.15147325657903,2.54101915313356,4.34127418369217,1.64616265715789,3.80838505065609,2.44890095114513,1.4905701304462
"HAS3",5.68565987743181,0.505890929729957,2.83592407425437,7.39514850841651,3.43295940727611,4.11935617703968,3.0496307677246,3.86690797814317,3.08406426478847,1.07724299893246,0.411426245726465,1.20163386116965,0.20163386116965,2.38128337250378,3.53231695933277,1.93357263826102,4.95046841415012,2.65992455840238,2.82171021503467,2.22342254993494,4.09845324630927,0.27500704749987,2.44890095114513,3.25096157353322,2.22342254993494,2.55336050333533,2.19534759832222,3.28095631383106,4.67863534782274,0.632268215499513,3.40463068421761,4.98093926608551,3.92599941855622,3.38266725274504,4.31686980506433,2.18269229751619,4.31903981556254,3.84899843040002,3.76128527336162,4.38543103719352,1.40053792958373,4.0036022366802,3.66448284036468,5.34234139743155,2.92409988564074,1.52105073690096,2.79285535236249,3.8499992594661,3.38818953715608,3.88459792099006,1.02856915219677,1.42223300068305,1.29278174922785,3.61706334388818,4.60584986719498,0.748461233004036,3.6915341649192,0.344828496997441,3.74631276642546,2.63691458035588,4.37155886261196,3.42223300068305,0.782408564927373,5.60792206726114,4.18030701996943,2.99457972421575,3.03562390973072,1.48542682717024,3.06004738366994,4.99729240763651,4.59693514238723,2.20789285164133,1.44360665147561,1.88362081628567,3.31034012061215,2.30742852519225,1.0496307677246,2.03210084316702,0.238786859587116,2.13750352374994,4.03210084316702,1.57531233068744,3.33628338786443,4.40053792958373,0.464668267003444,4.34198574722862,3.83693401132109,1.06350294230616,4.43028527297778,1.23266075679027,0.37851162325373,4.26603689399532,1.91838623444635,4.26153081524341,0.545968369105293,2.02147972741045,0.879705766282288,3.66220549965362
"HSPG2",5.40803246613065,6.15906400881055,4.58856473740135,6.45926766670339,3.87282875953489,6.62410089462811,4.09085343045111,5.59663703410207,4.75968848842729,5.18982455888002,3.25398926623079,4.30669970727279,3.03913839390696,6.11956368441736,4.114367024952,3.68706068833989,5.43662826729284,3.43429461795993,5.34872815423108,4.41683974191283,5.10559427579519,2.56071495447448,5.27015513876653,4.03298241669943,4.77873424411784,2.46205231879643,2.93545974780529,3.4541758931858,3.83491342970104,3.49697358099828,3.98550043030489,4.69041709553247,4.66618848987278,2.790772037862,5.43462822763672,3.07210580048042,5.02192383855476,4.12184429787638,5.93640237772506,5.42827641439251,2.81147103052984,3.32624970083746,4.57410150808939,6.74913197319041,5.87970576628229,4.38750040648098,3.17791779219584,3.92219784839637,5.39711840904258,6.07724299893246,1.92219784839637,1.42223300068305,6.57697555420653,4.52732060787705,6.58871463558226,2.36457243229586,5.41074812818595,4.90977310414164,3.10433665981474,2.96901230751632,4.00988458893184,4.95373084981149,1.05658352836637,5.4178525148859,4.2585189247113,2.4594316186373,3.12101540096137,4.26603689399532,2.93545974780529,5.48800077083407,5.13051908302734,3.02147972741045,3.14567745519564,2.09761079662642,4.51349074558812,2.48026512205446,3.33913738491959,2.99276843076892,1.63226821549951,3.38956681176273,3.26603689399532,4.21101219348551,5.42492208821069,5.15421053058834,2.81966818349646,5.02812708231714,3.73552217729654,2.71149490665009,5.83819543925919,3.38128337250378,1.85996954822103,6.08278773170927,3.41142624572647,5.62351574149055,1.790772037862,3.23266075679027,1.70043971814109,1.87184364850932
"CLU",10.4218018604699,7.66170685181326,8.89157107986071,5.69849632031307,9.36498819771144,7.2252556464986,5.65334669272218,7.74966834090396,6.98891186495402,7.53114749099813,6.88837796340678,6.06199215373422,3.44360665147561,8.63589946594638,6.24507727535967,8.61139372584558,6.38818953715608,5.00539998774259,9.46666790121095,6.76434084667018,8.21276386390212,2.78240856492737,8.43887500263395,6.1405741777099,8.82918360544688,6.28002835661061,4.24336442569366,6.36457243229586,7.43153939062004,5.30815697511476,7.97556140627362,5.49537538094463,5.50016467949217,5.20163386116965,5.68144926531496,1.18269229751619,5.8497491172824,10.5250509268715,7.3310064837195,8.19593810042783,4.54966917072649,5.79285535236249,6.69738463076402,9.9987455499047,9.18043135057448,6.57561487761963,7.25550073314839,6.25927248703759,6.61647532878288,8.40629005494083,4.31831684133498,3.85099939471647,8.10637972944192,7.91031293391067,6.89409017060148,6.33913738491959,8.98031097676902,7.21256933885081,6.28410691122874,4.98504496225347,8.37495251938926,5.27239650903748,3.91169158187234,6.67525138605026,4.43829285157915,3.64846544302731,6.58781501278806,5.93828579188405,3.84699468696557,6.90833256978243,5.00943675560809,4.73606362787181,5.50112063427539,6.71726514496006,6.00292750206307,5.77030048949942,5.90665012639538,6.13893730895863,5.50842865253186,6.64904056563445,8.77409519062712,6.4591036961354,8.11920052691734,6.538227739736,5.40156220725607,8.08804616615398,6.75942218569633,3.18745105402733,8.62095290227168,3.87970576628229,4.1168637576909,8.01077983875324,4.74038793246835,6.21179097625254,2,5.75568877685271,0.863938450423971,2.47508488294878
"THBS2",0.963474123974886,4.114367024952,2.56315813040281,4.4988890869768,3.93357263826102,6.30560578958543,1.23878685958712,4.99729240763651,3.42223300068305,4.63981097771678,2.07382023329167,4.46074256378964,0.250961573533219,2.96347412397489,0.594548549550354,0.454175893185802,1.19534759832222,2.68257329734758,5.1407786557828,3.22342254993494,3.47767732756531,2.45680614923047,3.02680005934372,3.65420637794429,2.58736499093646,1.01435529297707,2.20476675065461,1.74416109557041,1.88362081628567,1.59931779369823,2.43295940727611,0.53605290024021,4.18665901720211,2.01077983875324,2.06004738366994,0.650764559116902,2.95046841415012,2.83592407425437,3.17152710603881,2.43028527297778,1.33913738491959,2.83794324189103,3.08236196955747,5.93262815702213,3.28835856219366,1.98185265328974,2.58736499093646,2.03210084316702,2.82781902461732,5.66305992374782,0.713695814843359,0.0840642647884745,4.58255600301406,2.79701297783614,6.80928581019891,0.75702324650746,4.1586601753465,3.13257684267001,3.67807190511264,2.04264433740849,2.28983446517751,2.28095631383106,0.748461233004036,3.53106949272595,0.37851162325373,0.650764559116902,0.941106310946431,0.432959407276106,0.963474123974886,5.15177765473205,2.68257329734758,2.89530262133331,2.02502879449152,0.432959407276106,1.37295209791183,0.389566811762726,0.495695162624069,1.48026512205446,0.790772037862,2.35614381022528,1.70043971814109,2.76341157447001,4.97773784924282,0.713695814843359,0.333423733725192,4.84247606299394,3.32481060342048,0.344828496997441,2.56315813040281,0.111031312388744,0,4.97315203787724,0.137503523749935,2.40053792958373,0.807354922057604,1.59931779369823,0.31034012061215,0.0426443374084937
"ESR1",2.65306001710456,5.97521745704302,3.68257329734758,1.72683121703249,1.91456452349394,4.33413917883824,1.51096191927738,3.41006969175638,2.89530262133331,3.5981269599196,2.57046293102604,1.14404636961671,0.27500704749987,1.25701061820602,3.46597446450407,1.97819562968165,0.613531652917927,0.575312330687437,2.98550043030489,3.32912359629157,2.65764000520782,1.48026512205446,4.13422093976063,2.19849415363908,3.7771566660045,2.42492208821069,1.87578006306849,2.65535182861255,1.9560566524124,0.516015147003665,3.54473265593262,1.14404636961671,2.51853513898218,0.985500430304885,0.970853654340484,1.05658352836637,0.485426827170242,4.54720302475693,2.63226821549951,2.28392177230762,0.475084882948783,1.81557542886257,1.80322703643493,3.24640808724638,1.58496250072116,0.565597175854225,2.36457243229586,2.47508488294878,1.26303440583379,3.4944156103975,1.27500704749987,1.47508488294878,3.20320115631661,3.60050764534579,2.4276061727819,1.11769504266975,3.5933537709803,2.71149490665009,2.51349074558812,1.38956681176273,3.41818994794577,1.46466826700344,1.06350294230616,1.48542682717024,1.4541758931858,3.06004738366994,0.55581615506164,0.871843648509318,0.910732661902913,1.9560566524124,0.367371065648529,2.25398926623079,2.34482849699744,0.650764559116902,2.30158764660319,3.03913839390696,1.22650852980868,0.55581615506164,0.687060688339892,1.33913738491959,3.16349873228288,3.81147103052984,3.80529245560071,3.51222688651396,0.632268215499513,3.67919857056692,2.60169651648096,0.464668267003444,4.64673869830785,0.871843648509318,0.687060688339892,3.78450398292957,2.47508488294878,3.90207357931074,0.6959938131099,2.60644222813161,1.93734439215023,1.35614381022528
"LAMB3",7.99282506812455,3.29425313644451,5.46074256378964,7.54920708935568,4.45746296464855,7.50589092972996,3.98641093525204,8.42198064156036,6.34837407519116,3.83794324189103,4.6450098843911,6.79921685261393,5.07296327155522,5.24222139509837,4.18507363787676,5.57470704641555,7.45811948117451,3.5957423394744,5.11186596386756,3.87085786436376,5.97682185236069,3.46858331700683,3.94579495674006,4.66106547980695,4.12267271882414,5.15623479785027,4.42155994490182,6.2553118863596,4.3110671022556,6.2253520607761,4.29645740737124,5.25247621413522,6.61367897944763,4.11852584893567,7.24326920772571,2.45680614923047,7.00876474486344,5.89360490485829,5.59185890498717,3.80012335282653,4.28909670241999,4.45220004940622,6.18229502502548,7.58338368945029,7.73125113789623,7.18873718718513,3.94204525991605,3.70154905694307,6.05701696536554,7.96993327469786,1.96716860753263,2.76341157447001,6.77254551862151,6.86666075081999,5.41074812818595,2.05311133645956,5.20633064787105,1.76128527336162,1.61823865559545,1.54596836910529,6.66206304642804,6.39283257902094,0.298658315564515,6.90556751865141,5.44658708530688,3.99276843076892,5.86319511247319,6.13709360897494,0.704871964456353,6.03165985430805,7.27714789023863,3.89820835250872,2.16027483140859,4.2667865406949,4.76553474636298,2.84799690655495,2.9429835981871,4.65019012349677,1.81557542886257,4.50207595604579,5.97613447283165,1.81147103052984,5.95791459863299,7.10244817792658,3.86294724802092,5.64038956005495,5.72273923629671,2.85996954822103,1.38956681176273,4.18745105402733,3.33342373372519,6.42441826594578,3.03386345186628,6.51995070250463,3.84699468696557,4.92552476974757,2.68257329734758,3.95884267524324
"IGFBP2",10.536820293821,4.1101961777542,7.48397696323626,8.47982067508892,5.8285808102766,7.58556349845569,7.08990063237077,6.79843939882779,6.22110372536788,8.33002051583608,8.87559578337043,7.30131327434824,1.66902676550963,8.01307138390046,6.4599233626769,9.62485027540291,6.67044381212281,7.61389994103697,8.01781058464053,8.16012353414655,7.86300921812642,7.37260391520448,6.86974805146507,6.42827641439251,6.83238371654913,4.22265002245148,8.75455350631966,7.91749142883502,3.61941301059794,5.86071454954969,4.52794609890826,3.56924802986718,5.92837032301897,3.83187724119167,8.75405236752892,2.4541758931858,3.58976348698498,5.83238371654913,7.52285611736673,3.15704371014558,2.34766565630097,4.61999982982136,5.00584907569669,9.39197388306029,6.17771851116218,4.50969584193339,5.27872821293894,4.04701481951759,4.48284828306847,8.06920806723143,2.97085365434048,4.0241423458978,7.4820415419856,5.48767927890162,7.09085343045111,5.20711196120771,7.35420529586169,9.20182986620234,4.53169336086147,3.27052894238072,6.37937836707126,4.98686597232911,2.65764000520782,7.27435485560099,2.37851162325373,7.66611746138935,5.61588707391606,6.71163256182322,8.01535929497916,7.57803297169654,5.97796675761948,5.56376827845203,9.52573612064549,2.62760683812965,6.41345868800798,5.40599235967584,4.78345665436024,6.2037884533086,8.35974956032233,7.96572657570626,7.19672506078603,6.76566734091671,8.19436289072759,6.76420813013995,3.83390207666916,7.96139181179108,7.13401553005844,3.4262647547021,6.90352037372338,4.67525138605026,1.78240856492737,7.41768376875542,6.06220807756025,8.33467552993465,1.09085343045111,6.34801990922869,2.18269229751619,4.37781785308364
"LAMC1",4.39369076418745,5.50493813164961,2.46205231879643,4.22265002245148,5.83693401132109,5.36176835941915,1.61353165291793,5.01256867350306,3.57410150808939,3.56924802986718,2.94860084749336,3.18428029441938,2.8499992594661,2.96716860753263,1.87578006306849,3.06177619758669,4.36387192485753,2.34198574722862,4.91647664443772,2.60880924267552,3.76447355099267,1.4541758931858,3.5933537709803,3.31903981556254,2.34482849699744,2.86591881455221,2.32192809488736,2.47248777146274,1.77820857639809,3.28095631383106,3.06177619758669,2.99638874644762,4.6246858105254,1.78659636189081,4.31903981556254,2.02856915219677,5.11894107272351,3.74846123300404,3.62410089462811,2.64154602908752,2.73335434061383,2.15704371014558,3.61588707391606,5.38162946703366,5.03077747199254,4.34482849699744,2.50589092972996,2.09085343045111,4.62527048937469,5.46368784220126,1.60880924267552,2.33913738491959,4.67976157351685,3.37573453858316,4.61647532878288,1.23266075679027,4.96301164759943,2.74846123300404,3.08746284125034,1.08406426478847,3.4867143730307,4.10685079645022,0.53605290024021,4.10013667128545,2.46205231879643,1.72246602447109,3.81044310384517,3.64270157183323,1.0071955014042,4.42155994490182,4.45680614923047,1.71369581484336,2.12101540096137,2.85996954822103,3.47508488294878,1.38956681176273,1.16349873228288,3.16510798514454,2.39780296186249,1.86789646399265,3.13914201914569,2.0703893278914,4.46727948045998,4.25398926623079,1.73984810269933,4.05050169744673,4.24944534108584,0.55581615506164,4.09592441999854,2.75060650483559,1.22032995487956,4.72574115650395,1.88752527074159,3.57531233068744,2.06004738366994,2.61588707391606,1.26903314645524,1.65992455840238
"COL18A1",4.62760683812965,6.28243980500639,4.49825086752783,5.67609812091222,6.36667191611176,6.47167521439204,3.7158933705476,5.32840565895857,4.90785207184596,5.07339181605292,5.05528243550119,3.00539998774259,1.63691458035588,5.3327079336406,2.15704371014558,4.5453506448223,4.38335869538511,3.61823865559545,6.36649707577453,3.98732086592925,5.42894634476948,1.75274859140713,4.36457243229586,3.46858331700683,2.98002530023873,2.22342254993494,3.29278174922785,4.08151006812092,3.46074256378964,3.06177619758669,4.15218341905505,4.63633460244218,4.65019012349677,4,4.13832300405648,3.4369613378336,5.46499492726543,5.34305243492297,5.62410089462811,3.99457972421575,2.55336050333533,2.43028527297778,3.76553474636298,7.21761848535105,6.28281043957256,4.37851162325373,4.25776496857139,2.94673086014031,3.85798099512757,6.29810840321142,2.91073266190291,2.49825086752783,6.93050081079116,4.31397137105902,6.39660478118186,3.38543103719352,5.48896481700485,4.46336088581666,3.96993327469786,2.34766565630097,3.83693401132109,3.84599177066457,1.43829285157915,4.22419466397043,4.46532151358055,2.63923216324928,3.114367024952,3.54473265593262,3.14404636961671,5.01703108052784,4.55028504908841,2.98367769469807,5.33771109212829,2.16992500144231,4.54905302933729,1.55581615506164,2.66902676550963,3.96254902292306,1.67355642399014,4.14486214291573,3.37295209791183,4.77188557851537,4.91169158187234,4.94673086014031,1.46988597627446,5.47800105583793,4.9387562614923,2.88752527074159,5.58556349845569,4.42223300068305,3.82984955984469,5.68509917200661,4.15946772926677,5.12101540096137,2.54843662469604,4.69543711040537,2.02502879449152,1.59454854955035
