"","sample","cell_type","composition","integrate"
"1","MOCC-0001-B","aDC",0.144764161394464,"Y"
"2","MOCC-0001-B","Adipocytes",0,"Y"
"3","MOCC-0001-B","Astrocytes",0.00830782127374939,"Y"
"4","MOCC-0001-B","B-cells",0.00790358101565778,"Y"
"5","MOCC-0001-B","Basophils",0.0409689913099241,"Y"
"6","MOCC-0001-B","CD4+ memory T-cells",0.0278254741792779,"Y"
"7","MOCC-0001-B","CD4+ naive T-cells",0,"Y"
"8","MOCC-0001-B","CD4+ T-cells",1.30381335201517e-19,"Y"
"9","MOCC-0001-B","CD4+ Tcm",0,"Y"
"10","MOCC-0001-B","CD4+ Tem",0,"Y"
"11","MOCC-0001-B","CD8+ naive T-cells",0.0140676831371578,"Y"
"12","MOCC-0001-B","CD8+ T-cells",1.86092366100667e-19,"Y"
"13","MOCC-0001-B","CD8+ Tcm",0.042648162225633,"Y"
"14","MOCC-0001-B","CD8+ Tem",6.17692234656929e-19,"Y"
"15","MOCC-0001-B","cDC",0.0446233436856159,"Y"
"16","MOCC-0001-B","Chondrocytes",0,"Y"
"17","MOCC-0001-B","Class-switched memory B-cells",0.00458589234819339,"Y"
"18","MOCC-0001-B","CLP",0.0688613343374151,"Y"
"19","MOCC-0001-B","CMP",0,"Y"
"20","MOCC-0001-B","DC",0.0186572476477607,"Y"
"21","MOCC-0001-B","Endothelial cells",0,"Y"
"22","MOCC-0001-B","Eosinophils",3.79124142204115e-18,"Y"
"23","MOCC-0001-B","Epithelial cells",0.631667038368236,"Y"
"24","MOCC-0001-B","Erythrocytes",0.00028336422373222,"Y"
"25","MOCC-0001-B","Fibroblasts",1.52219128985058e-17,"Y"
"26","MOCC-0001-B","GMP",1.17608937674731e-18,"Y"
"27","MOCC-0001-B","Hepatocytes",3.63581095864532e-19,"Y"
"28","MOCC-0001-B","HSC",0.00690075367499521,"Y"
"29","MOCC-0001-B","iDC",0.282543965814538,"Y"
"30","MOCC-0001-B","Keratinocytes",0.332520663996393,"Y"
"31","MOCC-0001-B","ly Endothelial cells",0,"Y"
"32","MOCC-0001-B","Macrophages",0.0743661672209184,"Y"
"33","MOCC-0001-B","Macrophages M1",0.0519572156800357,"Y"
"34","MOCC-0001-B","Macrophages M2",0,"Y"
"35","MOCC-0001-B","Mast cells",0,"Y"
"36","MOCC-0001-B","Megakaryocytes",0.000219175417559744,"Y"
"37","MOCC-0001-B","Melanocytes",9.1493936735136e-05,"Y"
"38","MOCC-0001-B","Memory B-cells",0.00371070446182196,"Y"
"39","MOCC-0001-B","MEP",0.065691453956097,"Y"
"40","MOCC-0001-B","Mesangial cells",0.0466629411925968,"Y"
"41","MOCC-0001-B","Monocytes",0.0458246822361722,"Y"
"42","MOCC-0001-B","MPP",0,"Y"
