"","Region","count","Group","Pvalue"
"1","Alu",25,"Observed",0.0667771104700674
"2","Alu",13.57,"Expected",0.0667771104700674
"3","MIR",4,"Observed",1
"4","MIR",3.63,"Expected",1
"5","hAT-Charlie",0,"Observed",0.484335543582104
"6","hAT-Charlie",1.98,"Expected",0.484335543582104
"7","TcMar-Tigger",1,"Observed",0.999999999999997
"8","TcMar-Tigger",1.57,"Expected",0.999999999999997
"9","L1",16,"Observed",0.321095203669253
"10","L1",22.65,"Expected",0.321095203669253
"11","L2",7,"Observed",0.641087214098036
"12","L2",4.46,"Expected",0.641087214098036
"13","rRNA",0,"Observed",0.999999999999701
"14","rRNA",0.01,"Expected",0.999999999999701
"15","ERV1",3,"Observed",0.999999999999994
"16","ERV1",3.71,"Expected",0.999999999999994
"17","Satellite",0,"Observed",1
"18","Satellite",0.18,"Expected",1
