"","Region","count","Group","Pvalue"
"1","Alu",66,"Observed",0.57796659405444
"2","Alu",59.16,"Expected",0.57796659405444
"3","MIR",11,"Observed",0.456003549467067
"4","MIR",15.81,"Expected",0.456003549467067
"5","hAT-Charlie",8,"Observed",0.999999999999975
"6","hAT-Charlie",8.64,"Expected",0.999999999999975
"7","TcMar-Tigger",7,"Observed",0.99999999999997
"8","TcMar-Tigger",6.85,"Expected",0.99999999999997
"9","L1",76,"Observed",0.071917643779782
"10","L1",98.71,"Expected",0.071917643779782
"11","L2",12,"Observed",0.242876562871553
"12","L2",19.45,"Expected",0.242876562871553
"13","rRNA",5,"Observed",0.0780717583907404
"14","rRNA",0.05,"Expected",0.0780717583907404
"15","ERV1",8,"Observed",0.139589549881357
"16","ERV1",16.18,"Expected",0.139589549881357
"17","Satellite",2,"Observed",0.894887064991993
"18","Satellite",0.78,"Expected",0.894887064991993
