patient,E6,E7,E2,E1,E4,E5
MOCC-0001,31.05069899,159.507532,23.19014119,5.924107176,401.7607253,1031.666647
MOCC-0002,0.275613681,9.204754551,0,0,0,0
MOCC-0003,5.938452163,78.95895451,0,0,0.698190112,1.060541943
MOCC-0004,53.49985399,1888.004339,0,39.81656463,NA,NA
MOCC-0005,7.519409626,26.52469636,0.540895233,2.426734319,1.583949713,0.518215291
MOCC-0006,87.26507919,1432.815423,0,0.487691826,0,0
MOCC-0007,29.97082678,99.85677079,11.28062313,2.300732225,355.0844993,607.5895184
MOCC-0008,5.65004253,75.38702322,0.149533972,0,0,0
MOCC-0009,19.08576267,111.6346942,14.87308417,7.753193894,146.7757983,155.6388917
MOCC-000A,110.6572187,1295.670406,3.625687077,4.449161648,0,0
MOCC-000B,24.35614136,39.40781262,48.56133845,4.551092165,367.8364304,488.6216667
MOCC-000C,6.512433176,66.83300237,5.983985938,0.601793202,112.9417121,436.1093677
MOCC-000D,9.881641446,287.5386501,0.321516967,0.615462632,0.51502255,0.860544007
MOCC-000E,18.27993157,113.5223871,23.20767306,8.649279643,226.3851749,483.0676884
MOCC-000F,41.2980811,318.6022785,18.92477945,11.07391567,234.8197974,373.5220725
MOCC-000G,112.6832208,706.5193435,0,1.625364706,0,0
MOCC-000H,45.06115109,165.8398871,21.07951612,5.427614845,285.2257432,272.169282
MOCC-000I,15.73814082,91.49176518,0.993413282,1.307375848,109.7334583,180.6428673
MOCC-000J,11.44497751,86.76451343,0,1.375037848,0,14.71486655
MOCC-000K,12.49304771,55.07144939,0,0,0,0
MOCC-000L,129.127436,1116.938709,23.33608751,11.7283118,28.76203014,0
MOCC-000M,69.18323371,346.1464617,15.54206677,4.217796989,414.1596797,498.3773598
MOCC-000N,24.71094534,75.51176779,13.47965933,5.570766857,39.62979725,6.156767366
MOCC-000Q,43.21330269,388.4045779,0,0.949849426,0,0
MOCC-000R,48.80171185,183.5778633,0,6.482969557,0,0
MOCC-000S,41.12641903,195.5423177,19.81879029,9.936849198,288.5781023,274.6259087
MOCC-000T,22.87288191,249.4306021,0,0.926249244,0,1.145532336
MOCC-000U,14.15473745,65.90498834,4.915039929,4.191948931,14.73295385,14.06690711
MOCC-000W,34.64218516,343.3550638,35.51316449,4.618490563,476.5119409,879.3774495
MOCC-000Y,36.97434308,919.1744535,0,3.691404819,0,4.206488789
MOCC-000Z,59.30023144,412.0197891,3.434265799,0.399542355,207.0057987,275.824759
MOCC-0010,33.95656986,211.7378873,27.35935574,10.76113288,225.1243944,254.9429177
MOCC-0011,0,6.503137784,3.107759847,0.779106222,1.799415494,8.656647511
MOCC-0012,29.09285705,350.3398704,9.456449568,3.004830132,62.66804381,79.49364118
MOCC-0013,32.12507813,191.7956307,0,0.332481612,0.161548525,0.065437377
MOCC-0014,74.14917058,190.7701032,52.02708142,12.32225411,172.488055,128.5018841
MOCC-0015,56.04333368,264.9905294,0,4.138746485,0,0
MOCC-0016,16.32889147,98.58015886,0,0.554585065,0,0
MOCC-0017,22.67550485,617.1018066,0,4.824908063,0,0
