"","Region","count","Group","Pvalue"
"1","Alu",29,"Observed",0.0475331918076891
"2","Alu",15.84,"Expected",0.0475331918076891
"3","MIR",5,"Observed",0.999999999999995
"4","MIR",4.23,"Expected",0.999999999999995
"5","hAT-Charlie",0,"Observed",0.386767555025429
"6","hAT-Charlie",2.31,"Expected",0.386767555025429
"7","TcMar-Tigger",1,"Observed",0.999999999999992
"8","TcMar-Tigger",1.83,"Expected",0.999999999999992
"9","L1",19,"Observed",0.297993183839752
"10","L1",26.42,"Expected",0.297993183839752
"11","L2",7,"Observed",0.817174620363787
"12","L2",5.21,"Expected",0.817174620363787
"13","rRNA",0,"Observed",0.999999999999927
"14","rRNA",0.01,"Expected",0.999999999999927
"15","ERV1",4,"Observed",0.999999999999995
"16","ERV1",4.33,"Expected",0.999999999999995
"17","Satellite",0,"Observed",0.999999999999964
"18","Satellite",0.21,"Expected",0.999999999999964
